Time,Abs,Temp
1074,0.107200727,302.038343
1075,0.10956955,302.01925
1079,0.107726969,301.976804
1081,0.107009128,301.946585
1082,0.106863625,301.949627
1083,0.102240309,301.957573
1085,0.107710481,301.926307
1086,0.103886649,301.934236
1087,0.103578396,301.896897
1089,0.107916966,301.872968
1090,0.105711222,301.901878
1092,0.108247705,301.862122
1093,0.10460607,301.846331
1094,0.104848512,301.844739
1095,0.102941319,301.815002
1096,0.103945151,301.836407
1098,0.11019548,301.774222
1099,0.106424473,301.795331
1101,0.107043006,301.777612
1102,0.105085909,301.759272
1105,0.102919564,301.709942
1107,0.101833038,301.681629
1108,0.107243173,301.674731
1109,0.106825285,301.660446
1112,0.104785241,301.644872
1114,0.105362669,301.623373
1116,0.107888259,301.590548
1119,0.106060416,301.563981
1120,0.106405392,301.565897
1122,0.103887603,301.545745
1123,0.105272442,301.492035
1124,0.110396333,301.493139
1125,0.106889248,301.512425
1127,0.109796383,301.484875
1129,0.104748376,301.462711
1130,0.104421102,301.46986
1132,0.109279938,301.411863
1133,0.106122315,301.41957
1135,0.109932162,301.41412
1137,0.107339412,301.392325
1139,0.1043109,301.369177
1140,0.105264098,301.355838
1141,0.105417542,301.323578
1143,0.106114417,301.34046
1146,0.109032713,301.277163
1148,0.107062385,301.250381
1149,0.10693723,301.273257
1151,0.102258392,301.27946
1154,0.107508346,301.235986
1156,0.105036028,301.193339
1157,0.102210306,301.182546
1159,0.110259377,301.189265
1161,0.106220983,301.131035
1163,0.105090231,301.124211
1166,0.102158919,301.088461
1167,0.102253936,301.081611
1168,0.101584286,301.0824
1169,0.104031317,301.071529
1170,0.103785351,301.066608
1172,0.102375455,301.062743
1174,0.101729892,301.023115
1175,0.100899279,300.968615
1176,0.103142589,300.964624
1177,0.102362052,300.947532
1179,0.102792911,300.990846
1182,0.102351107,300.924145
1184,0.104988292,300.919162
1185,0.104397439,300.895861
1186,0.100657068,300.892037
1188,0.102707185,300.875631
1190,0.100550488,300.884825
1192,0.099891536,300.822201
1193,0.100207061,300.818476
1194,0.102959268,300.851299
1195,0.100929581,300.81829
1198,0.102901422,300.791098
1199,0.098421007,300.758085
1202,0.100120999,300.759738
1203,0.096936025,300.708268
1204,0.100025825,300.711802
1205,0.101535,300.720608
1208,0.09965194,300.678897
1209,0.09990786,300.652155
1211,0.097640507,300.64956
1212,0.10239213,300.673172
1214,0.101063862,300.636624
1217,0.102668621,300.633867
1218,0.098414153,300.607956
1219,0.098978877,300.5627
1220,0.10081549,300.565496
1223,0.103221804,300.581491
1225,0.102481797,300.519026
1226,0.09910433,300.514168
1227,0.100297973,300.53168
1229,0.102525421,300.517219
1232,0.099608116,300.465599
1233,0.104142904,300.452317
1236,0.106094189,300.43548
1238,0.102081306,300.426508
1239,0.099610366,300.424278
1240,0.100301333,300.375227
1242,0.099982254,300.384989
1246,0.098444253,300.327384
1247,0.103888556,300.350838
1249,0.102179386,300.330337
1252,0.101641566,300.264793
1253,0.101909854,300.276397
1254,0.099208966,300.253096
1255,0.101332054,300.258565
1256,0.10383457,300.220245
1258,0.103022859,300.222266
1259,0.103125848,300.226736
1261,0.105298273,300.197688
1263,0.105105333,300.180202
1264,0.102357037,300.170051
1265,0.101474762,300.181932
1268,0.105296522,300.163096
1269,0.104232669,300.111288
1270,0.10305886,300.1043
1271,0.105584048,300.09628
1272,0.102783397,300.08502
1274,0.103920944,300.078324
1275,0.105949856,300.066448
1276,0.106056221,300.036974
1278,0.104979359,300.029568
1279,0.100777552,300.045358
1280,0.104281768,300.017791
1282,0.105975002,300.02322
1284,0.110703886,299.976535
1286,0.106076345,299.943947
1287,0.112266354,299.981413
1291,0.109253772,299.930582
1293,0.111586221,299.941742
1294,0.108494952,299.884169
1295,0.112480916,299.872847
1296,0.112962894,299.864798
1298,0.112115197,299.84771
1299,0.110031165,299.841011
1300,0.108427629,299.826155
1302,0.113661066,299.834834
1303,0.112925023,299.811604
1304,0.109900989,299.801513
1305,0.109648943,299.809179
1307,0.110220298,299.771271
1308,0.1104175,299.75528
1310,0.1102181,299.746253
1311,0.112590604,299.729969
1312,0.098699011,299.747169
1313,0.110757537,299.729827
1314,0.108214431,299.705124
1315,0.102948435,299.706623
1316,0.110339828,299.67732
1318,0.099225096,299.675018
1321,0.108047545,299.658863
1323,0.10696236,299.64961
1324,0.101144068,299.658211
1326,0.112236954,299.610632
1328,0.10670957,299.593092
1331,0.100630865,299.579519
1333,0.105565071,299.556992
1334,0.104397893,299.527462
1335,0.102218591,299.580634
1336,0.104944125,299.550121
1337,0.103879251,299.536956
1338,0.098365128,299.484539
1339,0.101437978,299.492359
1341,0.102980033,299.497844
1343,0.098613694,299.464257
1344,0.100322336,299.461655
1347,0.101399206,299.427973
1349,0.102361329,299.424344
1352,0.101218447,299.444039
1353,0.100009009,299.402317
1354,0.100343764,299.365004
1355,0.102862023,299.359575
1356,0.099048004,299.358099
1358,0.097426057,299.340949
1359,0.096592143,299.329173
1360,0.097196236,299.343017
1361,0.099178158,299.317952
1364,0.097866572,299.297157
