Time,Abs1,Temp1,Abs2,Temp2
976,0.258183152,297.894484,0.115826301,302.840039
979,0.259164929,297.950162,0.114987031,302.829727
980,0.259009004,297.975363,0.110986896,302.823408
982,0.256780446,297.96316,0.118609168,302.785657
985,0.258442015,298.035322,0.12058726,302.770997
987,0.255810291,298.0668,0.112684242,302.741669
988,0.256136358,298.070085,0.112460591,302.708327
993,0.254273862,298.109034,0.110857695,302.666701
1001,0.250722796,298.236232,0.112651929,302.600294
1007,0.250652343,298.315705,0.110226743,302.504128
1008,0.252190858,298.300108,0.11205525,302.49371
1009,0.250033557,298.344506,0.108263753,302.490827
1011,0.249863073,298.360057,0.108090602,302.433881
1016,0.251342982,298.391938,0.107134566,302.394521
1017,0.25054735,298.445262,0.112248957,302.391743
1018,0.252180159,298.439727,0.106935471,302.398778
1019,0.247451529,298.469944,0.105507441,302.398222
1020,0.248911902,298.469944,0.107236445,302.369496
1024,0.245688289,298.543389,0.108774692,302.332941
1025,0.247994304,298.484361,0.104881831,302.313329
1028,0.249918521,298.595373,0.108537823,302.317884
1031,0.245550484,298.612688,0.108171858,302.254883
1035,0.248120517,298.677119,0.108825073,302.23286
1037,0.244033516,298.676214,0.111514837,302.171556
1039,0.244504482,298.70775,0.10858994,302.168337
1043,0.241842657,298.774412,0.108285636,302.11025
1047,0.24281539,298.829719,0.106402315,302.049136
1050,0.240759611,298.849188,0.107200727,302.038343
1055,0.252287746,298.952393,0.107726969,301.976804
1057,0.252166987,298.942034,0.107009128,301.946585
1058,0.238852307,298.960589,0.106863625,301.949627
1061,0.250606984,299.010309,0.107710481,301.926307
1063,0.248343736,299.026425,0.103578396,301.896897
1065,0.236632541,299.035996,0.107916966,301.872968
1069,0.255866468,299.145459,0.10460607,301.846331
1070,0.236718208,299.145459,0.104848512,301.844739
1071,0.246176973,299.108738,0.102941319,301.815002
1074,0.24856858,299.158175,0.11019548,301.774222
1075,0.236155003,299.162941,0.106424473,301.795331
1078,0.242812127,299.195459,0.105085909,301.759272
1081,0.236870796,299.248251,0.102919564,301.709942
1083,0.240413606,299.294697,0.101833038,301.681629
1085,0.241350472,299.29337,0.106825285,301.660446
1090,0.2402239,299.356463,0.105362669,301.623373
1092,0.239205405,299.40481,0.107888259,301.590548
1096,0.235041782,299.43291,0.106405392,301.565897
1098,0.230823249,299.450462,0.103887603,301.545745
1099,0.234309331,299.463686,0.105272442,301.492035
1100,0.234502465,299.506986,0.110396333,301.493139
1105,0.232844681,299.559457,0.104748376,301.462711
1109,0.231252447,299.623411,0.106122315,301.41957
1111,0.231883362,299.624662,0.109932162,301.41412
1113,0.232201681,299.642506,0.107339412,301.392325
1115,0.228980258,299.680095,0.1043109,301.369177
1116,0.2284026,299.628091,0.105264098,301.355838
1124,0.227523789,299.73702,0.107062385,301.250381
1127,0.227333292,299.785235,0.102258392,301.27946
1130,0.226083159,299.823964,0.107508346,301.235986
1132,0.226589516,299.866005,0.105036028,301.193339
1133,0.227697521,299.866005,0.102210306,301.182546
1135,0.227454603,299.859604,0.110259377,301.189265
1137,0.226430684,299.909548,0.106220983,301.131035
1139,0.223963365,299.912497,0.105090231,301.124211
1142,0.226066083,299.983208,0.102158919,301.088461
1145,0.221694827,299.996492,0.104031317,301.071529
1148,0.222066999,300.037734,0.102375455,301.062743
1150,0.222128779,300.036957,0.101729892,301.023115
1152,0.22265242,300.057851,0.103142589,300.964624
1153,0.22317946,300.057851,0.102362052,300.947532
1155,0.223987863,300.141422,0.102792911,300.990846
1160,0.220166251,300.137138,0.104988292,300.919162
1162,0.220980004,300.18885,0.100657068,300.892037
1166,0.219173044,300.231531,0.100550488,300.884825
1169,0.216481954,300.253963,0.100207061,300.818476
1170,0.216936931,300.273275,0.102959268,300.851299
1171,0.218462497,300.300778,0.100929581,300.81829
