Time (sec),Abs,Temperature
2136,0.120221995,313.094108
2137,0.120286696,313.090548
2138,0.117111713,313.090548
2139,0.119868532,313.090548
2140,0.11750979,313.110461
2141,0.119693324,313.110461
2142,0.119462289,313.160122
2143,0.119030684,313.162749
2144,0.120553196,313.162749
2145,0.121103235,313.157811
2146,0.119663522,313.179028
2147,0.118470885,313.179028
2148,0.11939089,313.197933
2149,0.11946021,313.197933
2150,0.118047088,313.244601
2151,0.120907731,313.244601
2152,0.118591175,313.233706
2153,0.118624844,313.216099
2154,0.120031424,313.25684
2155,0.118518151,313.257124
2156,0.118474759,313.293964
2157,0.11752855,313.293964
2158,0.120795578,313.293964
2159,0.11929556,313.325726
2160,0.119300395,313.311819
2161,0.11896167,313.311819
2162,0.11645025,313.356637
2163,0.119717129,313.356637
2164,0.117315114,313.356637
2165,0.119349353,313.342616
2166,0.118087009,313.363233
2167,0.117306329,313.363233
2168,0.119033337,313.40222
2169,0.118100055,313.381872
2170,0.116412684,313.381872
2171,0.119582683,313.458107
2172,0.118764304,313.37354
2173,0.117223352,313.432177
2174,0.118793264,313.43588
2175,0.115888357,313.427356
2176,0.119993746,313.427356
2177,0.117204875,313.450262
2178,0.119280569,313.450262
2179,0.118829809,313.496308
2180,0.117910989,313.514408
2181,0.119613841,313.514408
2182,0.118863501,313.509206
2183,0.119742535,313.509206
2184,0.118626244,313.541895
2185,0.120803475,313.550425
2186,0.119599663,313.550425
2187,0.121559747,313.560382
2188,0.120598473,313.560382
2189,0.122852378,313.579297
2190,0.120475747,313.591001
2191,0.118431777,313.591001
2192,0.120656528,313.591001
2193,0.121037759,313.575481
2194,0.122412279,313.628699
2195,0.12219166,313.628699
2196,0.120223396,313.657995
2197,0.119752087,313.653533
2198,0.120616481,313.663196
2199,0.118577018,313.663196
2200,0.120447427,313.663196
2201,0.119562805,313.671173
2202,0.122479335,313.716534
2203,0.119240098,313.716534
2204,0.119405069,313.732147
2205,0.119231001,313.732147
2206,0.12054643,313.742075
2207,0.11870724,313.759574
2208,0.118589774,313.759574
2209,0.121747911,313.771493
2210,0.118975356,313.771493
2211,0.119560458,313.788514
2212,0.118451975,313.788514
2213,0.120747827,313.789348
2214,0.121132962,313.816222
2215,0.121274322,313.816222
2216,0.121384852,313.798732
2217,0.119573988,313.840948
2218,0.12223573,313.840948
2219,0.118479483,313.840948
2220,0.119335927,313.889006
2221,0.118947104,313.889006
2222,0.119373545,313.868208
2223,0.120368183,313.868208
2224,0.121969231,313.928956
2225,0.121827714,313.897029
2226,0.121947736,313.897029
2227,0.12055289,313.959951
2228,0.12079411,313.913851
2229,0.119541608,313.913851
2230,0.120240226,313.951459
2231,0.121623039,313.951459
2232,0.120999552,313.951459
2233,0.121030204,313.988798
2234,0.11937689,313.988563
2235,0.120307326,313.988563
2236,0.121187747,314.017004
2237,0.121391386,314.024491
2238,0.120683432,314.000712
2239,0.120965317,314.000712
2240,0.121747397,314.000712
2241,0.12054465,314.048398
2242,0.120421499,314.048398
2243,0.119690359,314.035158
2244,0.120837219,314.072726
2245,0.120398849,314.072726
2246,0.120791443,314.081579
2247,0.120937415,314.081579
2248,0.120870628,314.097205
2249,0.121553548,314.097205
2250,0.119959556,314.112661
2251,0.120441586,314.112661
2252,0.119441159,314.112661
2253,0.121957198,314.14527
2254,0.119730189,314.14527
2255,0.119327925,314.162261
2256,0.120740369,314.162261
2257,0.120688349,314.183169
2258,0.119632423,314.179333
2259,0.121829152,314.175183
2260,0.118741162,314.175183
2261,0.119144656,314.209624
2262,0.120551996,314.209624
2263,0.118313469,314.256288
2264,0.119527936,314.256288
2265,0.122208603,314.256288
2266,0.119670853,314.245205
2267,0.119128853,314.243255
2268,0.121119626,314.243255
2269,0.121242739,314.243255
2270,0.121378519,314.296119
2271,0.12022575,314.296119
2272,0.12010067,314.305283
2273,0.120172188,314.305283
2274,0.12148869,314.307548
2275,0.123238497,314.307548
2276,0.123682633,314.312555
2277,0.120751143,314.312555
2278,0.123005398,314.376234
2279,0.122897513,314.343695
2280,0.122225441,314.381434
2281,0.121461473,314.380673
2282,0.120652907,314.364538
2283,0.121081546,314.379792
2284,0.121509306,314.433451
2285,0.12210191,314.433451
2286,0.122021854,314.433451
2287,0.121574514,314.402088
2288,0.121837996,314.446833
2289,0.12129657,314.446833
2290,0.119648658,314.458033
2291,0.122878932,314.471618
2292,0.121376015,314.492998
2293,0.121204749,314.492998
2294,0.120615006,314.503323
2295,0.122535482,314.502248
2296,0.121491604,314.502248
2297,0.122773178,314.539141
2298,0.122131847,314.539141
2299,0.121473216,314.539141
2300,0.120671257,314.54949
2301,0.121935055,314.54949
2302,0.118848801,314.552998
2303,0.121661201,314.580114
2304,0.122826755,314.580114
2305,0.122368358,314.583
2306,0.120747827,314.583
2307,0.121272884,314.616574
2308,0.123130284,314.608764
2309,0.123273224,314.608764
2310,0.121599548,314.63021
2311,0.121457085,314.634236
2312,0.121410832,314.651794
2313,0.12207599,314.65792
2314,0.121380605,314.65792
2315,0.121165097,314.639288
2316,0.121124245,314.67677
2317,0.120865978,314.661784
2318,0.121401861,314.685322
2319,0.122239195,314.685322
2320,0.120905198,314.690923
2321,0.121614344,314.693832
2322,0.12077295,314.693832
2323,0.12154071,314.708987
2324,0.12170063,314.733355
2325,0.120492823,314.737864
2326,0.120523952,314.769326
2327,0.126648992,314.745865
2328,0.122121014,314.774183
2329,0.123181291,314.774183
2330,0.121081203,314.774183
2331,0.124825679,314.765803
2332,0.122495152,314.772623
2333,0.120473214,314.772623
2334,0.120229028,314.82456
2335,0.123261668,314.82456
2336,0.120582342,314.826975
2337,0.12165565,314.81807
2338,0.121719368,314.837997
2339,0.122791305,314.837997
2340,0.122331783,314.837997
2341,0.12238764,314.852743
2342,0.12445242,314.852743
2343,0.122190386,314.836889
2344,0.121682681,314.836889
2345,0.122233056,314.902473
2346,0.121711694,314.902473
2347,0.122391142,314.902473
2348,0.124250613,314.929789
2349,0.122455411,314.929789
2350,0.122409634,314.924788
2351,0.121517763,314.937003
2352,0.124268569,314.963436
2353,0.124526307,314.963436
2354,0.120767444,314.963436
2355,0.129197672,314.963436
2356,0.122965157,314.999957
2357,0.120460577,314.982291
2358,0.13024734,314.994456
2359,0.127300844,314.994456
2360,0.12585634,314.977977
2361,0.119186312,315.010862
2362,0.127443209,315.037073
2363,0.122455239,315.037073
2364,0.119491123,315.045045
2365,0.121467531,315.045045
2366,0.129486367,315.067111
2367,0.129972935,315.074444
2368,0.121175423,315.074444
2369,0.119762793,315.073467
2370,0.121152602,315.04414
2371,0.119656637,315.089038
2372,0.121732153,315.089038
2373,0.121750616,315.125405
2374,0.122527212,315.114075
2375,0.12042433,315.123241
2376,0.121135123,315.123241
2377,0.118574366,315.15102
2378,0.122217141,315.137995
2379,0.120592862,315.137995
2380,0.121229015,315.159944
2381,0.121367291,315.147112
2382,0.120079033,315.185243
2383,0.121941328,315.185243
2384,0.121665172,315.183337
2385,0.121724613,315.183337
2386,0.119815216,315.209491
2387,0.122257888,315.209491
2388,0.120494701,315.209491
2389,0.121458255,315.237258
2390,0.122303374,315.230911
2391,0.120360427,315.230911
2392,0.122044377,315.243022
2393,0.121604547,315.250426
2394,0.122627616,315.274412
2395,0.120431915,315.274412
2396,0.122840494,315.274412
2397,0.11981225,315.304654
2398,0.122957602,315.304654
2399,0.122558996,315.304654
2400,0.121573687,315.314955
2401,0.123409674,315.319573
2402,0.121596158,315.327661
2403,0.119883031,315.327661
2404,0.123305917,315.358642
2405,0.121713445,315.349456
2406,0.121053837,315.337227
2407,0.12073531,315.340819
2408,0.120296329,315.340819
2409,0.120553806,315.340819
2410,0.133304447,315.390639
2411,0.134505704,315.400227
2412,0.131549224,315.36271
2413,0.134022161,315.36271
2414,0.136178777,315.407508
2415,0.133929268,315.407508
2416,0.132763311,315.407508
2417,0.131058231,315.409412
2418,0.134552375,315.409412
2419,0.134605557,315.4175
