Time temp,Abs,Reactor Temperature (C)
2563,0.058195441,317.180066
2565,0.060451829,317.172847
2566,0.058901147,317.242856
2567,0.057082231,317.25468
2568,0.058066352,317.201361
2570,0.05982128,317.207486
2572,0.058078236,317.212993
2574,0.059026696,317.228379
2576,0.060154184,317.259883
2578,0.058448952,317.270785
2579,0.058283516,317.273197
2580,0.057830478,317.289788
2581,0.059770632,317.251052
2582,0.06114323,317.262368
2583,0.059516905,317.322967
2584,0.058531722,317.303031
2586,0.058740843,317.30893
2587,0.059970478,317.311599
2588,0.060531332,317.279165
2589,0.058861642,317.314567
2590,0.060162865,317.327752
2592,0.060616122,317.314137
2595,0.059706525,317.322115
2597,0.059842901,317.342451
2598,0.05974445,317.347617
2600,0.059398563,317.37062
2602,0.060633561,317.401424
2604,0.060943983,317.366274
2605,0.061098932,317.422468
2607,0.059647309,317.361791
2609,0.060630032,317.427281
2610,0.060688118,317.420193
2612,0.062326865,317.437963
2613,0.061201082,317.414254
2614,0.060115039,317.455847
2617,0.058684267,317.438748
2619,0.060854073,317.450543
2621,0.061732166,317.501654
2623,0.061015865,317.490991
2624,0.062571615,317.475629
2625,0.063743655,317.458425
2626,0.060675285,317.47889
2628,0.06193068,317.498368
2631,0.061766949,317.534254
2632,0.061594798,317.520796
2633,0.061557138,317.498307
2635,0.062559193,317.537945
2636,0.061542825,317.515976
2637,0.061410172,317.523546
2638,0.061586427,317.54387
2639,0.062847148,317.543342
2641,0.062954133,317.571291
2642,0.062462158,317.565919
2644,0.06250037,317.581045
2645,0.062811905,317.561795
2646,0.063629102,317.588937
2648,0.06289001,317.570407
2650,0.063371312,317.605298
2651,0.06186652,317.591568
2652,0.062649298,317.611116
2653,0.063057387,317.607802
2655,0.062653594,317.628273
2657,0.062380365,317.616741
2659,0.062403854,317.654185
2660,0.063871036,317.656263
2662,0.064263801,317.656561
2664,0.063189339,317.657404
2666,0.061805955,317.68594
2667,0.061387934,317.66453
2669,0.061541975,317.694915
2670,0.062686729,317.668641
2671,0.062874734,317.697058
2674,0.064554298,317.700412
2675,0.062419166,317.712544
2676,0.06308836,317.724741
2677,0.061497746,317.729343
2679,0.063593523,317.722205
2680,0.061550552,317.738619
2682,0.063889148,317.767294
2683,0.063472244,317.779363
2686,0.062888757,317.776447
2689,0.062222879,317.758946
2691,0.064421288,317.776524
2693,0.062523617,317.797681
2695,0.065041377,317.793227
2697,0.063676627,317.786622
2699,0.063947118,317.815118
2700,0.063537942,317.83018
2703,0.063586811,317.828254
2705,0.066077337,317.870147
2706,0.063068413,317.871648
2707,0.062773228,317.846034
2709,0.063916099,317.861544
2711,0.064463636,317.877512
2712,0.06453702,317.853689
2713,0.064255475,317.872311
2715,0.064204009,317.885943
2717,0.064281021,317.913935
2718,0.06421862,317.905218
2720,0.063963808,317.928077
2722,0.064556386,317.877839
2724,0.06425511,317.930445
2725,0.066408872,317.897094
2726,0.065649242,317.920366
2727,0.063311262,317.945907
2729,0.066779802,317.954092
2730,0.066442927,317.951353
2732,0.06341757,317.928965
2734,0.063458802,317.960646
2736,0.06492075,317.96269
2739,0.064297266,317.985596
2741,0.065236787,317.97621
2742,0.063374845,317.986864
2743,0.062996473,317.986312
2745,0.065061457,317.995334
2749,0.066231349,318.050528
2752,0.064535638,318.059361
2754,0.065414294,318.028369
2756,0.063904856,318.06756
2757,0.067403852,318.039532
2758,0.065875872,318.064045
2759,0.066119978,318.079026
2760,0.065561974,318.096249
2761,0.066070559,318.082586
